Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,http://bioportal.bioontology.org/ontologies/umls/cui,http://bioportal.bioontology.org/ontologies/umls/hasSTY,http://bioportal.bioontology.org/ontologies/umls/tui,http://chu-rouen.fr/cismef/CIM-10#CIM10_EXCLUS,http://chu-rouen.fr/cismef/CIM-10#DISPLAY_LABEL,http://chu-rouen.fr/cismef/CIM-10#T_ATT_CIM10_INCLUDE,http://chu-rouen.fr/cismef/CIM-10#T_ATT_CIM10_NOTE,http://chu-rouen.fr/cismef/CIM-10#TYPE,http://data.bioontology.org/metadata/prefixIRI,http://purl.org/linguistics/gold/freeTranslation,http://purl.org/linguistics/gold/translation,http://www.w3.org/2004/02/skos/core#altLabel,http://www.w3.org/2004/02/skos/core#broadMatch,http://www.w3.org/2004/02/skos/core#changeNote,http://www.w3.org/2004/02/skos/core#definition,http://www.w3.org/2004/02/skos/core#exactMatch,http://www.w3.org/2004/02/skos/core#notation,http://www.w3.org/2004/02/skos/core#prefLabel;;;;;;;;;;;;;;;;
http://chu-rouen.fr/cismef/CIM-10#N82.8,N82.8 - autres fistules de l'appareil génital de la femme,autres fistules de l'appareil génital de la femme,,false,C0477781,http://purl.lirmm.fr/ontology/STY/T020,http://chu-rouen.fr/cismef/CIM-10#N82,C0477781,http://purl.lirmm.fr/ontology/STY/T020,T020,,,,,,CIM-10:N82.8,http://purl.bioontology.org/ontology/ICD10/N82.8,,autres fistules de l'appareil génital de la femme,,Le LIRMM a enrichi ce concept en CUI et TUI par un processus automatique,,http://purl.bioontology.org/ontology/ICD10/N82.8,N82.8,N82.8 - autres fistules de l'appareil génital de la femme;;;;;;;;;;;;;;;;
http://chu-rouen.fr/cismef/CIM-10#M10.14,M10.14 - goutte saturnine | main,goutte saturnine | main,,false,C0018099,http://purl.lirmm.fr/ontology/STY/T047,http://chu-rouen.fr/cismef/CIM-10#M10.1,C0018099,http://purl.lirmm.fr/ontology/STY/T047,T047,,,,,,CIM-10:M10.14,,http://purl.bioontology.org/ontology/ICD10/M10,goutte saturnine | main,http://purl.bioontology.org/ontology/ICD10/M10,Le LIRMM a enrichi ce concept en CUI et TUI par un processus automatique,,,M10.14,M10.14 - goutte saturnine | main;;;;;;;;;;;;;;;;
http://chu-rouen.fr/cismef/CIM-10#P50,P50 - perte de sang foetal,perte de sang foetal,,false,C0158951,http://purl.lirmm.fr/ontology/STY/T047,http://chu-rouen.fr/cismef/CIM-10#(P50-P61),C0158951,http://purl.lirmm.fr/ontology/STY/T047,T047,,,,,,CIM-10:P50,http://purl.bioontology.org/ontology/ICD10/P50,,perte de sang foetal,,Le LIRMM a enrichi ce concept en CUI et TUI par un processus automatique,,http://purl.bioontology.org/ontology/ICD10/P50,P50,P50 - perte de sang foetal;;;;;;;;;;;;;;;;
http://chu-rouen.fr/cismef/CIM-10#F14.26,F14.26 - troubles mentaux et du comportement liés à l'utilisation de cocaïne | syndrome de dépendance | utilisation épisodique (dipsomanie),troubles mentaux et du comportement liés à l'utilisation de cocaïne | syndrome de dépendance | utilisation épisodique (dipsomanie),,false,C0349141,http://purl.lirmm.fr/ontology/STY/T048,http://chu-rouen.fr/cismef/CIM-10#F14.2,C0349141,http://purl.lirmm.fr/ontology/STY/T048,T048,,,,,,CIM-10:F14.26,,http://purl.bioontology.org/ontology/ICD10/F14,troubles mentaux et du comportement liés à l'utilisation de cocaïne | syndrome de dépendance | utilisation épisodique (dipsomanie),http://purl.bioontology.org/ontology/ICD10/F14,Le LIRMM a enrichi ce concept en CUI et TUI par un processus automatique,,,F14.26,F14.26 - troubles mentaux et du comportement liés à l'utilisation de cocaïne | syndrome de dépendance | utilisation épisodique (dipsomanie);;;;;;;;;;;;;;;;
"http://chu-rouen.fr/cismef/CIM-10#M79,""M79 - autres affections des tissus mous, non classées ailleurs"",""autres affections des tissus mous, non classées ailleurs"",,false,C0494993,http://purl.lirmm.fr/ontology/STY/T047,http://chu-rouen.fr/cismef/CIM-10#(M60-M79)|http://chu-rouen.fr/cismef/CIM-10#(M70-M79),C0494993,http://purl.lirmm.fr/ontology/STY/T047,T047,,,,,,CIM-10:M79,http://purl.bioontology.org/ontology/ICD10/M79,,""autres affections des tissus mous, non classées ailleurs"",,Le LIRMM a enrichi ce concept en CUI et TUI par un processus automatique,,http://purl.bioontology.org/ontology/ICD10/M79,M79,""M79 - autres affections des tissus mous, non classées ailleurs""";;;;;;;;;;;;;;;;
"http://chu-rouen.fr/cismef/CIM-10#A09.0,""A09.0 - Gastroentérites et colites d'origine infectieuse, autres et non précisées"",""gastroentérites et colites d'origine infectieuse, autres et non précisées"",,false,C0348101,http://purl.lirmm.fr/ontology/STY/T047,http://chu-rouen.fr/cismef/CIM-10#A09,C0348101,http://purl.lirmm.fr/ontology/STY/T047,T047,,,""Catarrhe intestinalColite, entérite, gastroentérite infectieuses ou septiques• hémorragique, SAIDiarrhée • aigüe : • aqueuse • hémorragique • sanglante• dysentérique• épidémique• infectieuse SAI"",,,CIM-10:A09.0,,http://purl.bioontology.org/ontology/ICD10/A09,""gastroentérites et colites d'origine infectieuse, autres et non précisées"",http://purl.bioontology.org/ontology/ICD10/A09,Le LIRMM a enrichi ce concept en CUI et TUI par un processus automatique,,,A09.0,""A09.0 - Gastroentérites et colites d'origine infectieuse, autres et non précisées""";;;;;;;;;;;;;;;;
http://chu-rouen.fr/cismef/CIM-10#M24.25,M24.25 - lésion ligamentaire | région pelvienne et cuisse,lésion ligamentaire | région pelvienne et cuisse,,false,C0494935,http://purl.lirmm.fr/ontology/STY/T047,http://chu-rouen.fr/cismef/CIM-10#M24.2,C0494935,http://purl.lirmm.fr/ontology/STY/T047,T047,,,,,,CIM-10:M24.25,,http://purl.bioontology.org/ontology/ICD10/M24,lésion ligamentaire | région pelvienne et cuisse,http://purl.bioontology.org/ontology/ICD10/M24,Le LIRMM a enrichi ce concept en CUI et TUI par un processus automatique,,,M24.25,M24.25 - lésion ligamentaire | région pelvienne et cuisse;;;;;;;;;;;;;;;;
http://chu-rouen.fr/cismef/CIM-10#M81.20,M81.20 - ostéoporose d'inactivité | sièges multiples,ostéoporose d'inactivité | sièges multiples,,false,C0494998,http://purl.lirmm.fr/ontology/STY/T047,http://chu-rouen.fr/cismef/CIM-10#M81.2,C0494998,http://purl.lirmm.fr/ontology/STY/T047,T047,,,,,,CIM-10:M81.20,,http://purl.bioontology.org/ontology/ICD10/M81,ostéoporose d'inactivité | sièges multiples,http://purl.bioontology.org/ontology/ICD10/M81,Le LIRMM a enrichi ce concept en CUI et TUI par un processus automatique,,,M81.20,M81.20 - ostéoporose d'inactivité | sièges multiples;;;;;;;;;;;;;;;;
"http://chu-rouen.fr/cismef/CIM-10#M84.47,""M84.47 - fracture pathologique, non classée ailleurs | cheville et pied"",""fracture pathologique, non classée ailleurs | cheville et pied"",,false,C0495003,http://purl.lirmm.fr/ontology/STY/T047,http://chu-rouen.fr/cismef/CIM-10#M84.4,C0495003,http://purl.lirmm.fr/ontology/STY/T047,T047,,,,,,CIM-10:M84.47,,http://purl.bioontology.org/ontology/ICD10/M84,""fracture pathologique, non classée ailleurs | cheville et pied"",http://purl.bioontology.org/ontology/ICD10/M84,Le LIRMM a enrichi ce concept en CUI et TUI par un processus automatique,,,M84.47,""M84.47 - fracture pathologique, non classée ailleurs | cheville et pied""";;;;;;;;;;;;;;;;
http://chu-rouen.fr/cismef/CIM-10#Z24.2,Z24.2 - nécessité d'une vaccination contre la rage,nécessité d'une vaccination contre la rage,,false,C0496620,http://purl.lirmm.fr/ontology/STY/T033,http://chu-rouen.fr/cismef/CIM-10#Z24,C0496620,http://purl.lirmm.fr/ontology/STY/T033,T033,,,,,,CIM-10:Z24.2,http://purl.bioontology.org/ontology/ICD10/Z24.2,,nécessité d'une vaccination contre la rage,,Le LIRMM a enrichi ce concept en CUI et TUI par un processus automatique,,http://purl.bioontology.org/ontology/ICD10/Z24.2,Z24.2,Z24.2 - nécessité d'une vaccination contre la rage;;;;;;;;;;;;;;;;
